國別,西元年,民國年,類別,老化指數,資料說明,資料來源,
中華民國,2025,114,中推估,172.30,為年底數,國家發展委員會,
中華民國,2026,115,中推估,183.40,為年底數,國家發展委員會,
中華民國,2027,116,中推估,198.00,為年底數,國家發展委員會,
中華民國,2028,117,中推估,210.80,為年底數,國家發展委員會,
中華民國,2029,118,中推估,226.10,為年底數,國家發展委員會,
中華民國,2030,119,中推估,242.60,為年底數,國家發展委員會,
中華民國,2031,120,中推估,260.10,為年底數,國家發展委員會,
中華民國,2032,121,中推估,276.20,為年底數,國家發展委員會,
中華民國,2033,122,中推估,292.40,為年底數,國家發展委員會,
中華民國,2034,123,中推估,309.00,為年底數,國家發展委員會,
中華民國,2035,124,中推估,324.30,為年底數,國家發展委員會,
中華民國,2036,125,中推估,339.10,為年底數,國家發展委員會,
中華民國,2037,126,中推估,350.40,為年底數,國家發展委員會,
中華民國,2038,127,中推估,360.70,為年底數,國家發展委員會,
中華民國,2039,128,中推估,372.80,為年底數,國家發展委員會,
中華民國,2040,129,中推估,384.00,為年底數,國家發展委員會,
中華民國,2041,130,中推估,397.90,為年底數,國家發展委員會,
中華民國,2042,131,中推估,410.00,為年底數,國家發展委員會,
中華民國,2043,132,中推估,422.60,為年底數,國家發展委員會,
中華民國,2044,133,中推估,435.20,為年底數,國家發展委員會,
中華民國,2045,134,中推估,446.90,為年底數,國家發展委員會,
中華民國,2046,135,中推估,458.50,為年底數,國家發展委員會,
中華民國,2047,136,中推估,469.50,為年底數,國家發展委員會,
中華民國,2048,137,中推估,479.20,為年底數,國家發展委員會,
中華民國,2049,138,中推估,488.10,為年底數,國家發展委員會,
中華民國,2050,139,中推估,495.50,為年底數,國家發展委員會,
中華民國,2051,140,中推估,500.70,為年底數,國家發展委員會,
中華民國,2052,141,中推估,506.80,為年底數,國家發展委員會,
中華民國,2053,142,中推估,515.40,為年底數,國家發展委員會,
中華民國,2054,143,中推估,522.60,為年底數,國家發展委員會,
中華民國,2055,144,中推估,531.70,為年底數,國家發展委員會,
中華民國,2056,145,中推估,540.30,為年底數,國家發展委員會,
中華民國,2057,146,中推估,549.80,為年底數,國家發展委員會,
中華民國,2058,147,中推估,560.50,為年底數,國家發展委員會,
中華民國,2059,148,中推估,571.70,為年底數,國家發展委員會,
中華民國,2060,149,中推估,584.00,為年底數,國家發展委員會,
中華民國,2061,150,中推估,597.10,為年底數,國家發展委員會,
中華民國,2062,151,中推估,610.90,為年底數,國家發展委員會,
中華民國,2063,152,中推估,620.90,為年底數,國家發展委員會,
