114年11月03日 每日收盤行情(全部),,,,,,,,,,,,,,,
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,元大台灣50,"140,157,410","154,188","9,004,715,647",64.45,64.8,63.9,64.15,-,0.6,64.15,297,64.2,642,0
0051,元大中型100,"111,068",539,"10,291,212",92.9,93.1,92.05,92.8,+,1.15,92.2,3,92.8,46,0
0052,富邦科技,"4,021,496","12,009","1,044,836,325",260.65,262.1,258,258.75,-,2.45,258.7,17,258.75,18,0
0053,元大電子,"37,994",154,"5,390,284",142.2,142.25,141.35,141.7,-,0.85,141.55,1,141.7,1,0
0055,元大MSCI金融,"260,643",320,"7,960,290",30.6,30.67,30.41,30.6,+,0.1,30.6,11,30.61,5,0
0056,元大高股息,"47,795,908","31,983","1,786,380,885",37.42,37.48,37.28,37.33,-,0.13,37.32,90,37.33,3,0
0057,富邦摩台,"12,683",131,"2,369,821",187,187.05,186.9,187.05,-,1.85,187.05,9,187.65,45,0
0061,元大寶滬深,"211,891",212,"4,710,442",22.38,22.38,22.13,22.25,-,0.11,22.25,65,22.26,1,0
006203,元大MSCI台灣,"8,968",49,"1,042,911",117,117,115.95,116,-,1,115.25,1,118,1,0
006204,永豐臺灣加權,"3,802",120,"539,487",141.75,141.75,141.75,141.75,-,0.8,141.55,1,142.15,1,0
006205,富邦上証,"383,538",281,"14,638,433",38.34,38.34,37.95,38.24,-,0.1,38.24,3,38.28,8,0
006206,元大上證50,"87,990",171,"3,089,391",35.23,35.25,35.01,35.25,+,0.01,35.2,107,35.25,28,0
006207,復華滬深,"127,707",157,"3,758,009",29.54,29.54,29.39,29.54,-,0.05,29.53,102,29.58,1,0
006208,富邦台50,"9,581,645","26,306","1,443,073,892",151.05,151.8,149.8,150.2,-,1.6,150.2,153,150.25,2,0
00625K,富邦上証+R,0,0,0,--,--,--,--, ,0,8.82,6,8.92,5,0
00631L,元大台灣50正2,"3,105,660","6,900","1,092,852,659",352.9,357,348.45,350.15,-,4.95,350.15,2,350.5,2,0
00632R,元大台灣50反1,"24,859,965","4,154","419,634,927",16.84,16.96,16.76,16.93,+,0.12,16.92,444,16.93,"2,285",0
00633L,富邦上証正2,"4,566,819","1,038","224,524,159",49.51,49.58,48.7,49.5,-,0.04,49.5,9,49.53,3,0
00634R,富邦上証反1,"439,249",23,"1,422,699",3.23,3.26,3.23,3.24,+,0.01,3.23,90,3.24,467,0
00635U,期元大S&P黃金,"3,424,719","2,338","147,652,031",42.85,43.33,42.82,43.27,+,0.09,43.27,2,43.28,1,0
00636,國泰中國A50,"994,726",345,"25,765,463",26,26.02,25.76,26.01,+,0.01,26.01,292,26.02,4,0
00636K,國泰中國A50+U,200,2,"1,690",8.45,8.45,8.45,8.45,-,0.05,8.42,2,8.51,2,0
00637L,元大滬深300正2,"47,123,846","5,193","941,985,724",20.04,20.16,19.79,20.12,+,0.08,20.12,77,20.13,30,0
00638R,元大滬深300反1,"510,920",55,"3,501,876",6.84,6.88,6.83,6.83,+,0.02,6.82,7,6.83,265,0
00639,富邦深100,"811,848",426,"11,905,491",14.82,14.82,14.55,14.71,-,0.11,14.71,102,14.72,20,0
00640L,富邦日本正2,"396,613",151,"29,134,352",73.6,73.65,73.35,73.55,-,0.5,73.55,101,73.7,174,0
00641R,富邦日本反1,"265,352",28,"1,253,938",4.74,4.74,4.72,4.74,+,0.02,4.73,1,4.74,509,0
00642U,期元大S&P石油,"6,883,993","1,060","109,366,489",15.89,15.92,15.85,15.87,+,0.29,15.87,"1,498",15.88,250,0
00643,群益深証中小,"2,893,670",223,"46,936,973",16.37,16.37,16.13,16.33,-,0.06,16.31,182,16.35,103,0
00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0,3.77,2,3.8,1,0
00645,富邦日本,"466,306",436,"21,586,189",46.36,46.36,46.23,46.34,-,0.17,46.31,4,46.34,199,0
00646,元大S&P500,"15,947,951","3,561","1,052,371,783",66.1,66.25,65.9,66,-,0.1,66,26,66.05,499,0
00647L,元大S&P500正2,"56,070",120,"6,557,045",117.3,117.3,116.75,116.75,-,0.3,116.7,70,116.8,4,0
